INTERACTOR_A	INTERACTOR_B
LOC_Os10g38710	LOC_Os07g11110
LOC_Os10g38710	LOC_Os12g19470
LOC_Os10g38710	LOC_Os03g39830
LOC_Os10g38710	LOC_Os07g46780
LOC_Os10g38710	LOC_Os02g10350
LOC_Os10g38710	LOC_Os03g36750
LOC_Os10g38710	LOC_Os04g55180
LOC_Os10g38710	LOC_Os02g17920
LOC_Os10g38710	LOC_Os05g22614
LOC_Os10g38710	LOC_Os11g03390
LOC_Os10g38710	LOC_Os02g01340
LOC_Os10g38710	LOC_Os03g29970
LOC_Os10g38710	LOC_Os03g03670
LOC_Os10g38710	LOC_Os01g64660
LOC_Os10g38710	LOC_Os12g23180
LOC_Os10g38710	LOC_Os12g08770
LOC_Os10g38710	LOC_Os02g51470
LOC_Os10g38710	LOC_Os10g14870
LOC_Os10g38710	LOC_Os03g19760
LOC_Os10g38710	LOC_Os04g56230
LOC_Os10g38710	LOC_Os04g45210
LOC_Os10g38710	LOC_Os01g32830
LOC_Os10g38710	LOC_Os03g16050
LOC_Os10g38710	LOC_Os08g42850
LOC_Os10g38710	LOC_Os10g10180
LOC_Os10g38710	LOC_Os04g42800
LOC_Os10g38710	LOC_Os10g15300
LOC_Os10g38710	LOC_Os01g40310
LOC_Os10g38710	LOC_Os04g40530
LOC_Os10g38710	LOC_Os11g40600
LOC_Os10g38710	LOC_Os09g31502
LOC_Os10g38710	LOC_Os11g13850
LOC_Os10g38710	LOC_Os06g13660
LOC_Os10g38710	LOC_Os10g01080
LOC_Os10g38710	LOC_Os09g26810
LOC_Os10g38710	LOC_Os01g67120
LOC_Os10g35730	LOC_Os04g43922
LOC_Os09g34140	LOC_Os02g58790
LOC_Os09g34140	LOC_Os10g10170
LOC_Os09g34140	LOC_Os01g31690
LOC_Os09g34140	LOC_Os07g28610
LOC_Os09g34140	LOC_Os02g57020
LOC_Os09g34140	LOC_Os02g15750
LOC_Os09g34140	LOC_Os01g55799
LOC_Os09g34140	LOC_Os02g01150
LOC_Os09g34140	LOC_Os03g50310
LOC_Os09g34140	LOC_Os01g39960
LOC_Os09g34140	LOC_Os04g51300
LOC_Os09g34140	LOC_Os02g15660
LOC_Os09g34140	LOC_Os03g56660
LOC_Os09g34140	LOC_Os07g05480
LOC_Os09g34140	LOC_Os02g42570
LOC_Os09g34140	LOC_Os03g21560
LOC_Os09g34140	LOC_Os06g47970
LOC_Os09g34140	LOC_Os02g34810
LOC_Os09g34140	LOC_Os05g48630
LOC_Os09g34140	LOC_Os03g03720
LOC_Os09g34140	LOC_Os01g59080
LOC_Os09g34140	LOC_Os06g40640
LOC_Os09g34140	LOC_Os01g59090
LOC_Os09g34140	LOC_Os06g15400
LOC_Os09g34140	LOC_Os03g39830
LOC_Os09g34140	LOC_Os02g47020
LOC_Os09g34140	LOC_Os03g56670
LOC_Os09g34140	LOC_Os05g22614
LOC_Os09g34140	LOC_Os03g17580
LOC_Os09g34140	LOC_Os02g51470
LOC_Os09g34140	LOC_Os12g23180
LOC_Os09g34140	LOC_Os06g49160
LOC_Os09g34140	LOC_Os08g02630
LOC_Os09g34140	LOC_Os08g29370
LOC_Os09g34140	LOC_Os06g51290
LOC_Os09g34140	LOC_Os08g27010
LOC_Os09g34140	LOC_Os07g25430
LOC_Os09g34140	LOC_Os07g37250
LOC_Os09g34140	LOC_Os11g07020
LOC_Os09g34140	LOC_Os03g55720
LOC_Os09g34140	LOC_Os07g47640
LOC_Os09g34140	LOC_Os10g35030
LOC_Os09g34140	LOC_Os01g67120
LOC_Os09g34140	LOC_Os03g62630
LOC_Os08g40160	LOC_Os06g14324
LOC_Os08g40160	LOC_Os08g02210
LOC_Os08g40160	LOC_Os11g47970
LOC_Os08g40160	LOC_Os06g01850
LOC_Os08g40160	LOC_Os01g03040
LOC_Os08g40160	LOC_Os05g22614
LOC_Os02g06400	LOC_Os02g48830
LOC_Os02g06400	LOC_Os04g38570
LOC_Os02g06400	LOC_Os06g48650
LOC_Os02g06400	LOC_Os10g41370
LOC_Os02g06400	LOC_Os10g42110
LOC_Os02g06400	LOC_Os03g07790
LOC_Os02g06400	LOC_Os05g30750
LOC_Os02g06400	LOC_Os06g01500
LOC_Os02g06400	LOC_Os05g11750
LOC_Os06g14460	LOC_Os12g06980
LOC_Os06g14460	LOC_Os05g39850
LOC_Os06g14460	LOC_Os03g22040
LOC_Os06g14460	LOC_Os12g13570
LOC_Os06g14460	LOC_Os12g44090
LOC_Os06g14460	LOC_Os05g38480
LOC_Os06g14460	LOC_Os04g48760
LOC_Os06g14460	LOC_Os01g42040
LOC_Os06g14460	LOC_Os03g56070
LOC_Os06g14460	LOC_Os04g15800
LOC_Os06g14460	LOC_Os05g41750
LOC_Os06g14460	LOC_Os03g38010
LOC_Os06g14460	LOC_Os04g28260
LOC_Os06g14460	LOC_Os12g19180
LOC_Os06g14460	LOC_Os10g42660
LOC_Os02g50560	LOC_Os01g59090
LOC_Os02g50560	LOC_Os10g10170
LOC_Os02g50560	LOC_Os09g10750
LOC_Os02g50560	LOC_Os02g02390
LOC_Os02g50560	LOC_Os02g33500
LOC_Os02g50560	LOC_Os01g72800
LOC_Os02g50560	LOC_Os04g47020
LOC_Os02g50560	LOC_Os05g41190
LOC_Os02g50560	LOC_Os03g59640
LOC_Os02g50560	LOC_Os04g58780
LOC_Os02g50560	LOC_Os04g53490
LOC_Os02g50560	LOC_Os03g58540
LOC_Os02g50560	LOC_Os02g55120
LOC_Os02g50560	LOC_Os07g38300
LOC_Os02g50560	LOC_Os08g29370
LOC_Os02g50560	LOC_Os06g36840
LOC_Os02g50560	LOC_Os03g50270
LOC_Os02g50560	LOC_Os08g24390
LOC_Os02g50560	LOC_Os01g52170
LOC_Os02g50560	LOC_Os08g02390
LOC_Os02g50560	LOC_Os03g61220
LOC_Os02g50560	LOC_Os02g46750
LOC_Os02g50560	LOC_Os01g21820
LOC_Os02g50560	LOC_Os04g54640
LOC_Os02g50560	LOC_Os12g35630
LOC_Os02g50560	LOC_Os01g25600
LOC_Os02g50560	LOC_Os01g58470
LOC_Os01g60830	LOC_Os11g39020
LOC_Os01g60830	LOC_Os09g38090
LOC_Os01g60830	LOC_Os02g04510
LOC_Os04g51792	LOC_Os07g32880
LOC_Os04g51792	LOC_Os08g06530
LOC_Os04g51792	LOC_Os07g41630
LOC_Os04g51792	LOC_Os05g43310
LOC_Os04g51792	LOC_Os01g39960
LOC_Os04g51792	LOC_Os02g15660
LOC_Os04g51792	LOC_Os06g05390
LOC_Os04g51792	LOC_Os03g56660
LOC_Os04g51792	LOC_Os05g33280
LOC_Os04g51792	LOC_Os02g51020
LOC_Os04g51792	LOC_Os02g42570
LOC_Os04g51792	LOC_Os02g13970
LOC_Os04g51792	LOC_Os08g07060
LOC_Os04g51792	LOC_Os09g36040
LOC_Os04g51792	LOC_Os06g51029
LOC_Os04g51792	LOC_Os06g43900
LOC_Os04g51792	LOC_Os02g18450
LOC_Os04g51792	LOC_Os01g58470
LOC_Os04g51792	LOC_Os03g36750
LOC_Os04g51792	LOC_Os05g22614
LOC_Os04g51792	LOC_Os02g01340
LOC_Os04g51792	LOC_Os08g40160
LOC_Os04g51792	LOC_Os12g08770
LOC_Os04g51792	LOC_Os02g51080
LOC_Os04g51792	LOC_Os08g02630
LOC_Os04g51792	LOC_Os04g44340
LOC_Os04g51792	LOC_Os03g04300
LOC_Os04g51792	LOC_Os10g10180
LOC_Os04g51792	LOC_Os08g36140
LOC_Os04g51792	LOC_Os10g15300
LOC_Os04g51792	LOC_Os02g50010
LOC_Os04g51792	LOC_Os07g37250
LOC_Os04g51792	LOC_Os11g40600
LOC_Os04g51792	LOC_Os10g35030
LOC_Os04g51792	LOC_Os02g58790
LOC_Os04g51792	LOC_Os03g52460
LOC_Os04g51792	LOC_Os06g09610
LOC_Os04g51792	LOC_Os07g29410
LOC_Os04g51792	LOC_Os07g28610
LOC_Os04g51792	LOC_Os02g57030
LOC_Os04g51792	LOC_Os07g15670
LOC_Os04g51792	LOC_Os05g42280
LOC_Os04g51792	LOC_Os05g49970
LOC_Os04g51792	LOC_Os04g53490
LOC_Os04g51792	LOC_Os03g17600
LOC_Os04g51792	LOC_Os04g45490
LOC_Os04g51792	LOC_Os10g39800
LOC_Os04g51792	LOC_Os03g21560
LOC_Os04g51792	LOC_Os10g37180
LOC_Os04g51792	LOC_Os02g52650
LOC_Os04g51792	LOC_Os01g03040
LOC_Os04g51792	LOC_Os12g17320
LOC_Os04g51792	LOC_Os03g03720
LOC_Os04g51792	LOC_Os01g17240
LOC_Os04g51792	LOC_Os05g47560
LOC_Os04g51792	LOC_Os07g01030
LOC_Os04g51792	LOC_Os08g19140
LOC_Os04g51792	LOC_Os02g55120
LOC_Os04g51792	LOC_Os01g17150
LOC_Os04g51792	LOC_Os02g39740
LOC_Os04g51792	LOC_Os01g21820
LOC_Os04g51792	LOC_Os06g13660
LOC_Os04g51792	LOC_Os11g13850
LOC_Os04g51792	LOC_Os01g67120
LOC_Os04g51792	LOC_Os02g22100
LOC_Os04g51792	LOC_Os03g10180
LOC_Os04g51792	LOC_Os09g39390
